"1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011"
"1" 780.663483521555 654.376918141336 521.9049127815 581.515761440364 784.246462992002 515.489372863857 633.684251861674 579.795142631686 470.545642409805 397.581961041232 489.219416407926 457.657333362807 464.953647449678 808.655039889622 399.170961793332 645.183474580429 554.973426263969 649.796396772573 499.368024154939 521.441437942536 509.950273437942 485.176990977405 813.843701485418 912.212264898589 880.128477073389 572.622443596716 504.5193469038 690.15497570229 508.297503910943 707.026196555013 992.123639203745 1014.83203780098 713.121784817541 746.633226234054 930.545529468856
"2" 823.782615853362 654.376918141336 577.008022840575 498.206356527202 509.404446418609 471.816286051555 395.804731994236 653.686245144371 771.969067419148 635.504115450493 659.591941765666 634.810003469235 464.953647449678 851.256558951865 460.265099730197 460.123544994758 576.793695139098 576.211869472916 620.112686561459 650.191991829128 509.950273437942 556.261648012273 635.538585653753 959.979346999996 867.429596759981 729.324443436922 555.38649920262 554.367420338505 486.624472371873 707.026196555013 887.680871409028 768.988770670309 713.121784817541 694.784573977267 930.545529468856
"3" 716.75490396043 973.714864879906 551.862051621041 754.616813770715 648.484042161183 515.489372863857 456.543580472281 505.814417584544 771.969067419148 486.03181547048 621.435296678902 485.676008720465 464.953647449678 724.25426659532 460.265099730197 460.123544994758 554.973426263969 465.024210385535 520.28080466285 521.441437942536 661.227536273202 656.118277642956 840.707412207506 912.212264898589 847.809356186369 498.452832717992 555.38649920262 554.367420338505 769.232027937536 707.026196555013 926.036497691636 610.608750557873 663.506764916778 870.932695711775 930.545529468856
"4" 716.75490396043 654.376918141336 551.862051621041 453.169425430547 648.484042161183 789.677011974862 395.804731994236 524.825035398478 771.969067419148 586.630765959974 659.591941765666 634.810003469235 503.103431334244 851.256558951865 399.170961793332 460.123544994758 554.973426263969 649.796396772573 574.884047115975 521.441437942536 604.471083194768 656.118277642956 635.538585653753 682.821289353111 697.650669452192 729.324443436922 508.118566282336 690.15497570229 486.624472371873 707.026196555013 992.123639203745 784.75436248217 842.815382943778 851.526909840098 765.180055077876
"5" 716.75490396043 654.376918141336 577.008022840575 581.515761440364 483.02538690386 471.816286051555 395.804731994236 766.671313988136 771.969067419148 397.581961041232 489.219416407926 457.657333362807 503.103431334244 514.427344296511 399.170961793332 645.183474580429 649.354682972073 576.211869472916 574.884047115975 521.441437942536 661.227536273202 556.261648012273 635.538585653753 959.979346999996 867.429596759981 729.324443436922 504.5193469038 690.15497570229 486.624472371873 707.026196555013 992.123639203745 1014.83203780098 840.903096497174 746.633226234054 765.180055077876
"6" 716.75490396043 654.376918141336 521.9049127815 480.022985930359 648.484042161183 789.677011974862 395.804731994236 766.671313988136 771.969067419148 397.581961041232 489.219416407926 759.34557996322 649.598386792395 745.166443552614 633.8401506685 645.183474580429 554.973426263969 649.796396772573 574.884047115975 521.441437942536 774.605007017768 656.118277642956 813.843701485418 784.055673601365 697.650669452192 498.452832717992 601.920822984712 690.15497570229 601.858873151544 707.026196555013 926.036497691636 610.608750557873 663.506764916778 746.633226234054 930.545529468856
"7" 716.75490396043 743.809400103807 551.862051621041 453.169425430547 509.404446418609 789.677011974862 758.071117079515 579.795142631686 598.943733155177 442.948400522831 489.219416407926 759.34557996322 576.364765654401 851.256558951865 490.438273288889 516.072837581381 554.973426263969 576.211869472916 554.003789330718 521.441437942536 572.288554852658 656.118277642956 635.538585653753 959.979346999996 847.809356186369 835.509817676003 504.5193469038 817.204420682547 769.232027937536 550.371577569655 887.680871409028 610.608750557873 713.121784817541 851.526909840098 765.180055077876
"8" 486.722794046295 743.809400103807 650.385235234962 392.443237270206 648.484042161183 789.677011974862 483.743445945198 579.795142631686 470.545642409805 586.630765959974 508.152282152715 457.657333362807 554.835362105954 588.507258086735 633.8401506685 549.772259899512 554.973426263969 576.211869472916 464.427109519604 521.441437942536 509.950273437942 556.261648012273 635.538585653753 912.212264898589 847.809356186369 572.622443596716 601.920822984712 690.15497570229 504.910975188547 770.534802180472 673.750413106854 784.75436248217 1070.71879837144 746.633226234054 765.180055077876
"9" 716.75490396043 654.376918141336 551.862051621041 581.515761440364 648.484042161183 515.489372863857 633.684251861674 505.814417584544 470.545642409805 397.581961041232 659.591941765666 457.657333362807 464.953647449678 588.507258086735 460.265099730197 549.772259899512 554.973426263969 649.796396772573 464.427109519604 555.103463729224 604.471083194768 600.413730903476 635.538585653753 784.055673601365 847.809356186369 572.622443596716 656.056475462084 690.15497570229 769.232027937536 707.026196555013 992.123639203745 693.232298506545 842.815382943778 746.633226234054 765.180055077876
"10" 486.722794046295 604.066975550731 577.008022840575 754.616813770715 784.246462992002 515.489372863857 440.146379197025 502.255225909435 454.038440164985 586.630765959974 489.219416407926 759.34557996322 554.835362105954 724.25426659532 399.170961793332 549.772259899512 521.393543368343 502.418233680322 464.427109519604 521.441437942536 604.471083194768 656.118277642956 758.411918892502 1013.9784956631 1109.58610829315 498.452832717992 504.5193469038 774.473884707725 601.858873151544 476.354169242907 992.123639203745 768.988770670309 713.121784817541 746.633226234054 765.180055077876
"11" 780.663483521555 654.376918141336 650.385235234962 581.515761440364 648.484042161183 471.816286051555 395.804731994236 505.814417584544 636.882837370452 397.581961041232 489.219416407926 485.676008720465 551.432587733702 851.256558951865 460.265099730197 645.183474580429 521.393543368343 465.024210385535 499.368024154939 555.103463729224 661.227536273202 769.231945438791 840.707412207506 959.979346999996 1109.58610829315 498.452832717992 555.38649920262 690.15497570229 486.624472371873 476.354169242907 992.123639203745 610.608750557873 713.121784817541 746.633226234054 765.180055077876
