"1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011"
"1" 535.916066809836 531.286584934571 707.44674002392 616.546408352686 506.25211740662 583.604056449751 625.600358316816 668.502982415382 819.694531824378 691.758543986883 553.362786584474 328.975814776682 598.65098639612 650.117514277139 516.143920930474 546.295342156285 563.812025773574 516.298592336724 589.674350033986 520.062974485131 502.221001150009 514.479100068742 641.475752346114 688.301994726168 856.821405121498 718.030384784667 1043.56626589138 669.397970372335 609.376851312791 770.24315136057 694.788106474062 1032.32123466056 751.667841794547 772.478141008746 890.541866062135
"2" 627.628898381782 570.320314735328 714.239683859129 680.470325296298 468.001742701202 653.071344813358 612.015662836328 624.34377983188 559.442888140716 585.399096917087 602.780195742426 362.553118532026 828.140478273137 707.164878621972 615.325838296465 556.234172217936 526.181555836501 464.006897852783 545.67412500199 597.678681728745 514.941364527795 560.195871670463 641.475752346114 688.301994726168 856.821405121498 718.030384784667 748.734095103769 732.163462061912 710.9469155463 717.834859264555 728.709566614006 873.543031267068 791.812163857914 881.230007125501 890.541866062135
"3" 598.831542305929 536.243193546373 714.239683859129 643.554297927758 468.001742701202 623.795345368061 612.015662836328 622.653474621583 819.694531824378 585.399096917087 602.780195742426 362.553118532026 571.438011617942 707.164878621972 516.143920930474 546.295342156285 563.812025773574 526.353406907881 527.682682788541 505.989754574551 514.941364527795 514.479100068742 667.322297096949 526.261447600436 637.114147312561 600.567962671195 1043.56626589138 732.163462061912 830.199737047052 747.867170885151 787.304645422923 1032.32123466056 608.192884662419 772.478141008746 976.595274845375
"4" 535.916066809836 559.846384993519 758.673337578143 680.470325296298 635.106597301069 623.795345368061 625.600358316816 591.132466093954 559.442888140716 535.433185644573 553.362786584474 307.191310428261 598.65098639612 650.117514277139 561.285280524723 610.191410114122 548.538840629777 475.729416592776 527.682682788541 505.989754574551 502.221001150009 514.479100068742 667.322297096949 688.301994726168 827.585594315227 775.915444144327 744.527185653816 677.467840612292 830.199737047052 773.12746532062 787.044947979372 873.543031267068 745.656629352517 772.478141008746 986.276890677298
"5" 563.63002302561 559.846384993519 714.239683859129 624.966714993729 468.001742701202 583.604056449751 625.600358316816 622.653474621583 559.442888140716 691.758543986883 553.362786584474 362.553118532026 626.333599648691 587.04684512018 561.285280524723 546.295342156285 563.812025773574 475.729416592776 589.674350033986 597.678681728745 564.392963997545 454.022971491026 637.995972111628 526.261447600436 637.114147312561 600.567962671195 744.527185653816 669.397970372335 710.9469155463 770.24315136057 694.788106474062 1069.54745794734 745.656629352517 772.478141008746 976.595274845375
"6" 627.628898381782 565.214540499858 660.095156722486 680.470325296298 414.720410348568 623.795345368061 575.716461834482 624.34377983188 530.29398366687 544.336006512572 717.574457501158 425.18209907849 626.333599648691 707.164878621972 516.143920930474 546.295342156285 548.538840629777 475.729416592776 589.674350033986 505.989754574551 567.783840810104 420.615417117022 641.475752346114 688.301994726168 746.812968692841 789.953464059267 744.527185653816 677.467840612292 830.199737047052 747.867170885151 787.044947979372 988.665320910554 608.192884662419 772.478141008746 875.240733772117
"7" 627.628898381782 559.846384993519 714.239683859129 680.470325296298 635.106597301069 623.795345368061 625.600358316816 591.132466093954 559.442888140716 691.758543986883 602.780195742426 307.191310428261 828.140478273137 707.164878621972 589.453652407562 546.295342156285 548.538840629777 526.353406907881 589.674350033986 505.989754574551 514.941364527795 560.195871670463 667.322297096949 688.301994726168 746.812968692841 775.915444144327 1043.56626589138 669.397970372335 693.307342677873 773.12746532062 669.519110995654 1069.54745794734 608.192884662419 772.478141008746 986.276890677298
"8" 626.778846356858 531.286584934571 667.971099756902 680.470325296298 468.001742701202 623.795345368061 625.600358316816 525.553106736296 819.694531824378 691.758543986883 602.780195742426 307.191310428261 626.333599648691 650.117514277139 567.703775425359 556.234172217936 563.812025773574 475.729416592776 587.229572562479 505.989754574551 502.221001150009 514.479100068742 571.910327095758 624.34033418165 746.812968692841 682.144100767283 723.402272356229 710.551351978919 830.199737047052 723.773233265304 669.519110995654 1032.32123466056 608.192884662419 735.258106537307 875.240733772117
"9" 563.63002302561 531.286584934571 667.971099756902 624.966714993729 468.001742701202 611.197970590974 612.015662836328 668.502982415382 529.54951564545 585.399096917087 602.780195742426 362.553118532026 626.333599648691 650.117514277139 567.703775425359 546.295342156285 587.602091139514 473.789391012048 589.674350033986 533.023788795395 502.221001150009 514.479100068742 667.322297096949 708.790536581006 637.114147312561 718.030384784667 744.527185653816 732.163462061912 830.199737047052 723.773233265304 694.788106474062 988.665320910554 745.656629352517 787.938031571998 976.595274845375
"10" 598.831542305929 559.846384993519 660.095156722486 624.966714993729 468.001742701202 704.956133554242 625.600358316816 622.653474621583 559.442888140716 691.758543986883 717.574457501158 328.975814776682 598.65098639612 650.117514277139 567.703775425359 569.305149733877 548.538840629777 464.006897852783 545.67412500199 505.989754574551 502.221001150009 454.022971491026 637.995972111628 526.261447600436 637.114147312561 600.567962671195 1043.56626589138 710.551351978919 710.9469155463 734.052554531686 694.788106474062 1065.64806470698 745.656629352517 772.478141008746 976.595274845375
