"1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011"
"1" 694.379824373924 817.451022832206 604.170407958238 634.994854150915 846.079449855981 484.333197004018 837.629161437089 623.883479648987 819.892123715385 738.688585287048 542.998236344602 629.2270822381 597.150251880857 504.220900185515 583.754272969451 589.841394382545 622.528700425511 465.327226771417 566.005519055342 448.900173518391 549.542362585263 452.852509005353 472.216731098668 564.062229586576 760.436275747439 500.647006293667 814.80327111589 720.040832462058 980.991183761223 753.655544684873 836.415351656406 528.167611596862 857.783831307516 864.645044534258 1051.93683656043
"2" 726.013004422233 816.900975062355 571.105056030877 541.237212465405 603.305518998774 484.333197004018 837.629161437089 620.576214767005 798.579539599771 517.934892760766 467.206320729719 621.901526547741 618.0819847122 504.220900185515 583.754272969451 580.482946167521 622.528700425511 541.341325176312 577.048178448808 336.328730074357 735.858962498651 717.455194997664 577.923167514592 564.062229586576 730.136728545734 744.379544055727 558.767577274848 564.294250097266 980.991183761223 463.686481227055 836.415351656406 528.167611596862 733.082747529829 864.645044534258 1015.43369732878
"3" 694.379824373924 736.166576951517 571.105056030877 795.158177872716 548.212126698111 576.52443927045 622.708367569583 620.576214767005 707.645875465643 578.27243958119 467.206320729719 629.2270822381 586.940392560648 376.461997113474 498.85222514091 514.458822786803 622.528700425511 541.341325176312 577.048178448808 590.528781957963 569.649158334882 568.829420127596 756.676310845049 797.889399395886 468.939157755465 583.460572296668 814.80327111589 720.040832462058 621.278642767504 463.686481227055 873.55166752073 679.598541022084 834.503223360832 907.687403849493 960.404882520228
"4" 694.379824373924 736.166576951517 525.480477720149 541.237212465405 846.079449855981 484.333197004018 629.796040699426 542.447623756399 819.892123715385 738.688585287048 754.081918852961 523.81544211558 618.0819847122 504.220900185515 549.542288829506 514.458822786803 353.87954832894 541.341325176312 633.89751313525 594.594373808931 687.530512246877 717.455194997664 577.923167514592 747.265079236529 730.136728545734 744.379544055727 613.047578357409 687.227247647408 697.635628337282 463.686481227055 836.415351656406 528.167611596862 761.48122901615 936.50667219566 1015.43369732878
"5" 694.379824373924 736.166576951517 525.480477720149 580.504091508469 846.079449855981 621.935644181297 622.708367569583 620.576214767005 793.583934729657 580.773744156039 489.044710382948 629.2270822381 349.345512920888 504.220900185515 549.542288829506 331.837533889848 359.534878177325 278.351633389561 633.89751313525 336.328730074357 507.444517022438 556.751656166267 756.676310845049 797.889399395886 694.010824406515 536.221808373435 561.13599563808 564.294250097266 757.858533602151 591.529152664296 836.415351656406 528.167611596862 733.082747529829 827.059816206866 1015.43369732878
"6" 434.061790086179 817.451022832206 618.48660547648 541.237212465405 603.305518998774 624.121586119193 550.947080835982 620.576214767005 798.579539599771 738.688585287048 754.081918852961 652.948025145267 618.0819847122 504.220900185515 583.754272969451 514.458822786803 622.528700425511 278.351633389561 566.005519055342 336.328730074357 735.858962498651 717.455194997664 577.923167514592 564.062229586576 760.436275747439 744.379544055727 814.80327111589 687.227247647408 980.991183761223 463.686481227055 836.415351656406 528.167611596862 733.082747529829 864.645044534258 1051.93683656043
"7" 726.013004422233 736.166576951517 770.098489289498 773.583797628695 846.079449855981 561.597635018116 837.629161437089 623.883479648987 738.138419428711 580.773744156039 467.206320729719 629.2270822381 537.539053434893 504.220900185515 498.438569507149 589.841394382545 359.534878177325 477.48224873588 577.048178448808 336.328730074357 687.530512246877 556.751656166267 756.676310845049 564.062229586576 730.136728545734 536.221808373435 814.80327111589 720.040832462058 621.278642767504 591.529152664296 873.55166752073 528.167611596862 761.48122901615 928.337969472729 1040.09511594984
"8" 704.704875494455 669.216438971663 618.48660547648 541.237212465405 587.650080767836 621.935644181297 837.629161437089 620.576214767005 798.579539599771 738.688585287048 467.206320729719 621.901526547741 618.0819847122 376.461997113474 583.754272969451 514.458822786803 622.528700425511 530.824825624915 633.89751313525 525.484707650049 735.858962498651 717.455194997664 577.923167514592 564.062229586576 596.071891918985 536.221808373435 630.212981184152 720.040832462058 641.712204750718 463.686481227055 784.746224467968 528.167611596862 761.48122901615 907.687403849493 960.404882520228
"9" 726.013004422233 816.900975062355 770.098489289498 541.237212465405 548.212126698111 621.935644181297 468.910796652069 381.128497355386 793.583934729657 578.27243958119 542.998236344602 629.2270822381 618.0819847122 504.220900185515 600.502303079398 514.458822786803 454.669597599578 541.341325176312 577.048178448808 594.594373808931 549.542362585263 452.852509005353 706.425547680339 747.265079236529 596.071891918985 744.379544055727 613.047578357409 762.004124476588 641.712204750718 648.919809611522 873.55166752073 528.167611596862 733.082747529829 864.645044534258 1015.43369732878
"10" 694.379824373924 817.451022832206 571.105056030877 541.237212465405 846.079449855981 484.333197004018 622.708367569583 623.883479648987 819.892123715385 580.773744156039 489.044710382948 629.2270822381 537.539053434893 504.220900185515 583.754272969451 566.564952273128 402.711123735727 541.341325176312 633.89751313525 590.528781957963 735.858962498651 556.751656166267 706.425547680339 797.889399395886 694.010824406515 536.221808373435 558.767577274848 938.741430268807 980.991183761223 679.031150085332 755.808372469862 679.598541022084 761.48122901615 900.217930096449 1051.93683656043
